,Survived,Pclass,Age,SibSp,Parch,Fare,male,Q,S
556,Yes,1,48.0,1,0,39.6,0,0,0
557,No,1,37.0,0,0,227.525,1,0,0
558,Yes,1,39.0,1,1,79.65,0,0,1
559,Yes,3,36.0,1,0,17.4,0,0,1
560,No,3,24.0,0,0,7.75,1,1,0
561,No,3,40.0,0,0,7.8958,1,0,1
562,No,2,28.0,0,0,13.5,1,0,1
563,No,3,24.0,0,0,8.05,1,0,1
564,No,3,24.0,0,0,8.05,0,0,1
565,No,3,24.0,2,0,24.15,1,0,1
566,No,3,19.0,0,0,7.8958,1,0,1
567,No,3,29.0,0,4,21.075,0,0,1
568,No,3,24.0,0,0,7.2292,1,0,0
569,Yes,3,32.0,0,0,7.8542,1,0,1
570,Yes,2,62.0,0,0,10.5,1,0,1
571,Yes,1,53.0,2,0,51.4792,0,0,1
572,Yes,1,36.0,0,0,26.3875,1,0,1
573,Yes,3,24.0,0,0,7.75,0,1,0
574,No,3,16.0,0,0,8.05,1,0,1
575,No,3,19.0,0,0,14.5,1,0,1
576,Yes,2,34.0,0,0,13.0,0,0,1
577,Yes,1,39.0,1,0,55.9,0,0,1
578,No,3,24.0,1,0,14.4583,0,0,0
579,Yes,3,32.0,0,0,7.925,1,0,1
580,Yes,2,25.0,1,1,30.0,0,0,1
581,Yes,1,39.0,1,1,110.8833,0,0,0
582,No,2,54.0,0,0,26.0,1,0,1
583,No,1,36.0,0,0,40.125,1,0,0
584,No,3,24.0,0,0,8.7125,1,0,0
585,Yes,1,18.0,0,2,79.65,0,0,1
586,No,2,47.0,0,0,15.0,1,0,1
587,Yes,1,60.0,1,1,79.2,1,0,0
588,No,3,22.0,0,0,8.05,1,0,1
589,No,3,24.0,0,0,8.05,1,0,1
590,No,3,35.0,0,0,7.125,1,0,1
591,Yes,1,52.0,1,0,78.2667,0,0,0
592,No,3,47.0,0,0,7.25,1,0,1
593,No,3,24.0,0,2,7.75,0,1,0
594,No,2,37.0,1,0,26.0,1,0,1
595,No,3,36.0,1,1,24.15,1,0,1
596,Yes,2,29.0,0,0,33.0,0,0,1
597,No,3,49.0,0,0,0.0,1,0,1
598,No,3,24.0,0,0,7.225,1,0,0
599,Yes,1,49.0,1,0,56.9292,1,0,0
600,Yes,2,24.0,2,1,27.0,0,0,1
601,No,3,24.0,0,0,7.8958,1,0,1
602,No,1,37.0,0,0,42.4,1,0,1
603,No,3,44.0,0,0,8.05,1,0,1
604,Yes,1,35.0,0,0,26.55,1,0,0
605,No,3,36.0,1,0,15.55,1,0,1
606,No,3,30.0,0,0,7.8958,1,0,1
607,Yes,1,27.0,0,0,30.5,1,0,1
608,Yes,2,22.0,1,2,41.5792,0,0,0
609,Yes,1,40.0,0,0,153.4625,0,0,1
610,No,3,39.0,1,5,31.275,0,0,1
611,No,3,24.0,0,0,7.05,1,0,1
612,Yes,3,24.0,1,0,15.5,0,1,0
613,No,3,24.0,0,0,7.75,1,1,0
614,No,3,35.0,0,0,8.05,1,0,1
615,Yes,2,24.0,1,2,65.0,0,0,1
616,No,3,34.0,1,1,14.4,1,0,1
617,No,3,26.0,1,0,16.1,0,0,1
618,Yes,2,4.0,2,1,39.0,0,0,1
619,No,2,26.0,0,0,10.5,1,0,1
620,No,3,27.0,1,0,14.4542,1,0,0
621,Yes,1,42.0,1,0,52.5542,1,0,1
622,Yes,3,20.0,1,1,15.7417,1,0,0
623,No,3,21.0,0,0,7.8542,1,0,1
624,No,3,21.0,0,0,16.1,1,0,1
625,No,1,61.0,0,0,32.3208,1,0,1
626,No,2,57.0,0,0,12.35,1,1,0
627,Yes,1,21.0,0,0,77.9583,0,0,1
628,No,3,26.0,0,0,7.8958,1,0,1
629,No,3,24.0,0,0,7.7333,1,1,0
630,Yes,1,80.0,0,0,30.0,1,0,1
631,No,3,51.0,0,0,7.0542,1,0,1
632,Yes,1,32.0,0,0,30.5,1,0,0
633,No,1,37.0,0,0,0.0,1,0,1
634,No,3,9.0,3,2,27.9,0,0,1
635,Yes,2,28.0,0,0,13.0,0,0,1
636,No,3,32.0,0,0,7.925,1,0,1
637,No,2,31.0,1,1,26.25,1,0,1
638,No,3,41.0,0,5,39.6875,0,0,1
639,No,3,24.0,1,0,16.1,1,0,1
640,No,3,20.0,0,0,7.8542,1,0,1
641,Yes,1,24.0,0,0,69.3,0,0,0
642,No,3,2.0,3,2,27.9,0,0,1
643,Yes,3,24.0,0,0,56.4958,1,0,1
644,Yes,3,0.75,2,1,19.2583,0,0,0
645,Yes,1,48.0,1,0,76.7292,1,0,0
646,No,3,19.0,0,0,7.8958,1,0,1
647,Yes,1,56.0,0,0,35.5,1,0,0
648,No,3,24.0,0,0,7.55,1,0,1
649,Yes,3,23.0,0,0,7.55,0,0,1
650,No,3,24.0,0,0,7.8958,1,0,1
651,Yes,2,18.0,0,1,23.0,0,0,1
652,No,3,21.0,0,0,8.4333,1,0,1
653,Yes,3,24.0,0,0,7.8292,0,1,0
654,No,3,18.0,0,0,6.75,0,1,0
655,No,2,24.0,2,0,73.5,1,0,1
656,No,3,24.0,0,0,7.8958,1,0,1
657,No,3,32.0,1,1,15.5,0,1,0
658,No,2,23.0,0,0,13.0,1,0,1
659,No,1,58.0,0,2,113.275,1,0,0
660,Yes,1,50.0,2,0,133.65,1,0,1
661,No,3,40.0,0,0,7.225,1,0,0
662,No,1,47.0,0,0,25.5875,1,0,1
663,No,3,36.0,0,0,7.4958,1,0,1
664,Yes,3,20.0,1,0,7.925,1,0,1
665,No,2,32.0,2,0,73.5,1,0,1
666,No,2,25.0,0,0,13.0,1,0,1
667,No,3,24.0,0,0,7.775,1,0,1
668,No,3,43.0,0,0,8.05,1,0,1
669,Yes,1,37.0,1,0,52.0,0,0,1
670,Yes,2,40.0,1,1,39.0,0,0,1
671,No,1,31.0,1,0,52.0,1,0,1
672,No,2,70.0,0,0,10.5,1,0,1
673,Yes,2,31.0,0,0,13.0,1,0,1
674,No,2,29.0,0,0,0.0,1,0,1
675,No,3,18.0,0,0,7.775,1,0,1
676,No,3,24.5,0,0,8.05,1,0,1
677,Yes,3,18.0,0,0,9.8417,0,0,1
678,No,3,43.0,1,6,46.9,0,0,1
679,Yes,1,36.0,0,1,512.3292,1,0,0
680,No,3,24.0,0,0,8.1375,0,1,0
681,Yes,1,27.0,0,0,76.7292,1,0,0
682,No,3,20.0,0,0,9.225,1,0,1
683,No,3,14.0,5,2,46.9,1,0,1
684,No,2,60.0,1,1,39.0,1,0,1
685,No,2,25.0,1,2,41.5792,1,0,0
686,No,3,14.0,4,1,39.6875,1,0,1
687,No,3,19.0,0,0,10.1708,1,0,1
688,No,3,18.0,0,0,7.7958,1,0,1
689,Yes,1,15.0,0,1,211.3375,0,0,1
690,Yes,1,31.0,1,0,57.0,1,0,1
691,Yes,3,4.0,0,1,13.4167,0,0,0
692,Yes,3,24.0,0,0,56.4958,1,0,1
693,No,3,25.0,0,0,7.225,1,0,0
694,No,1,60.0,0,0,26.55,1,0,1
695,No,2,52.0,0,0,13.5,1,0,1
696,No,3,44.0,0,0,8.05,1,0,1
697,Yes,3,24.0,0,0,7.7333,0,1,0
698,No,1,49.0,1,1,110.8833,1,0,0
699,No,3,42.0,0,0,7.65,1,0,1
700,Yes,1,18.0,1,0,227.525,0,0,0
701,Yes,1,35.0,0,0,26.2875,1,0,1
702,No,3,18.0,0,1,14.4542,0,0,0
703,No,3,25.0,0,0,7.7417,1,1,0
704,No,3,26.0,1,0,7.8542,1,0,1
705,No,2,39.0,0,0,26.0,1,0,1
706,Yes,2,45.0,0,0,13.5,0,0,1
707,Yes,1,42.0,0,0,26.2875,1,0,1
708,Yes,1,22.0,0,0,151.55,0,0,1
709,Yes,3,24.0,1,1,15.2458,1,0,0
710,Yes,1,24.0,0,0,49.5042,0,0,0
711,No,1,37.0,0,0,26.55,1,0,1
712,Yes,1,48.0,1,0,52.0,1,0,1
713,No,3,29.0,0,0,9.4833,1,0,1
714,No,2,52.0,0,0,13.0,1,0,1
715,No,3,19.0,0,0,7.65,1,0,1
716,Yes,1,38.0,0,0,227.525,0,0,0
717,Yes,2,27.0,0,0,10.5,0,0,1
718,No,3,24.0,0,0,15.5,1,1,0
719,No,3,33.0,0,0,7.775,1,0,1
720,Yes,2,6.0,0,1,33.0,0,0,1
721,No,3,17.0,1,0,7.0542,1,0,1
722,No,2,34.0,0,0,13.0,1,0,1
723,No,2,50.0,0,0,13.0,1,0,1
724,Yes,1,27.0,1,0,53.1,1,0,1
725,No,3,20.0,0,0,8.6625,1,0,1
726,Yes,2,30.0,3,0,21.0,0,0,1
727,Yes,3,24.0,0,0,7.7375,0,1,0
728,No,2,25.0,1,0,26.0,1,0,1
729,No,3,25.0,1,0,7.925,0,0,1
730,Yes,1,29.0,0,0,211.3375,0,0,1
731,No,3,11.0,0,0,18.7875,1,0,0
732,No,2,29.0,0,0,0.0,1,0,1
733,No,2,23.0,0,0,13.0,1,0,1
734,No,2,23.0,0,0,13.0,1,0,1
735,No,3,28.5,0,0,16.1,1,0,1
736,No,3,48.0,1,3,34.375,0,0,1
737,Yes,1,35.0,0,0,512.3292,1,0,0
738,No,3,24.0,0,0,7.8958,1,0,1
739,No,3,24.0,0,0,7.8958,1,0,1
740,Yes,1,37.0,0,0,30.0,1,0,1
741,No,1,36.0,1,0,78.85,1,0,1
742,Yes,1,21.0,2,2,262.375,0,0,0
743,No,3,24.0,1,0,16.1,1,0,1
744,Yes,3,31.0,0,0,7.925,1,0,1
745,No,1,70.0,1,1,71.0,1,0,1
746,No,3,16.0,1,1,20.25,1,0,1
747,Yes,2,30.0,0,0,13.0,0,0,1
748,No,1,19.0,1,0,53.1,1,0,1
749,No,3,31.0,0,0,7.75,1,1,0
750,Yes,2,4.0,1,1,23.0,0,0,1
751,Yes,3,6.0,0,1,12.475,1,0,1
752,No,3,33.0,0,0,9.5,1,0,1
753,No,3,23.0,0,0,7.8958,1,0,1
754,Yes,2,48.0,1,2,65.0,0,0,1
755,Yes,2,0.67,1,1,14.5,1,0,1
756,No,3,28.0,0,0,7.7958,1,0,1
757,No,2,18.0,0,0,11.5,1,0,1
758,No,3,34.0,0,0,8.05,1,0,1
759,Yes,1,33.0,0,0,86.5,0,0,1
760,No,3,24.0,0,0,14.5,1,0,1
761,No,3,41.0,0,0,7.125,1,0,1
762,Yes,3,20.0,0,0,7.2292,1,0,0
763,Yes,1,36.0,1,2,120.0,0,0,1
764,No,3,16.0,0,0,7.775,1,0,1
765,Yes,1,51.0,1,0,77.9583,0,0,1
766,No,1,37.0,0,0,39.6,1,0,0
767,No,3,30.5,0,0,7.75,0,1,0
768,No,3,24.0,1,0,24.15,1,1,0
769,No,3,32.0,0,0,8.3625,1,0,1
770,No,3,24.0,0,0,9.5,1,0,1
771,No,3,48.0,0,0,7.8542,1,0,1
772,No,2,57.0,0,0,10.5,0,0,1
773,No,3,24.0,0,0,7.225,1,0,0
774,Yes,2,54.0,1,3,23.0,0,0,1
775,No,3,18.0,0,0,7.75,1,0,1
776,No,3,24.0,0,0,7.75,1,1,0
777,Yes,3,5.0,0,0,12.475,0,0,1
778,No,3,24.0,0,0,7.7375,1,1,0
779,Yes,1,43.0,0,1,211.3375,0,0,1
780,Yes,3,13.0,0,0,7.2292,0,0,0
781,Yes,1,17.0,1,0,57.0,0,0,1
782,No,1,29.0,0,0,30.0,1,0,1
783,No,3,24.0,1,2,23.45,1,0,1
784,No,3,25.0,0,0,7.05,1,0,1
785,No,3,25.0,0,0,7.25,1,0,1
786,Yes,3,18.0,0,0,7.4958,0,0,1
787,No,3,8.0,4,1,29.125,1,1,0
788,Yes,3,1.0,1,2,20.575,1,0,1
789,No,1,46.0,0,0,79.2,1,0,0
790,No,3,24.0,0,0,7.75,1,1,0
791,No,2,16.0,0,0,26.0,1,0,1
792,No,3,24.0,8,2,69.55,0,0,1
793,No,1,37.0,0,0,30.6958,1,0,0
794,No,3,25.0,0,0,7.8958,1,0,1
795,No,2,39.0,0,0,13.0,1,0,1
796,Yes,1,49.0,0,0,25.9292,0,0,1
797,Yes,3,31.0,0,0,8.6833,0,0,1
798,No,3,30.0,0,0,7.2292,1,0,0
799,No,3,30.0,1,1,24.15,0,0,1
800,No,2,34.0,0,0,13.0,1,0,1
801,Yes,2,31.0,1,1,26.25,0,0,1
802,Yes,1,11.0,1,2,120.0,1,0,1
803,Yes,3,0.42,0,1,8.5167,1,0,0
804,Yes,3,27.0,0,0,6.975,1,0,1
805,No,3,31.0,0,0,7.775,1,0,1
806,No,1,39.0,0,0,0.0,1,0,1
807,No,3,18.0,0,0,7.775,0,0,1
808,No,2,39.0,0,0,13.0,1,0,1
809,Yes,1,33.0,1,0,53.1,0,0,1
810,No,3,26.0,0,0,7.8875,1,0,1
811,No,3,39.0,0,0,24.15,1,0,1
812,No,2,35.0,0,0,10.5,1,0,1
813,No,3,6.0,4,2,31.275,0,0,1
814,No,3,30.5,0,0,8.05,1,0,1
815,No,1,37.0,0,0,0.0,1,0,1
816,No,3,23.0,0,0,7.925,0,0,1
817,No,2,31.0,1,1,37.0042,1,0,0
818,No,3,43.0,0,0,6.45,1,0,1
819,No,3,10.0,3,2,27.9,1,0,1
820,Yes,1,52.0,1,1,93.5,0,0,1
821,Yes,3,27.0,0,0,8.6625,1,0,1
822,No,1,38.0,0,0,0.0,1,0,1
823,Yes,3,27.0,0,1,12.475,0,0,1
824,No,3,2.0,4,1,39.6875,1,0,1
825,No,3,24.0,0,0,6.95,1,1,0
826,No,3,24.0,0,0,56.4958,1,0,1
827,Yes,2,1.0,0,2,37.0042,1,0,0
828,Yes,3,24.0,0,0,7.75,1,1,0
830,Yes,3,15.0,1,0,14.4542,0,0,0
831,Yes,2,0.83,1,1,18.75,1,0,1
832,No,3,24.0,0,0,7.2292,1,0,0
833,No,3,23.0,0,0,7.8542,1,0,1
834,No,3,18.0,0,0,8.3,1,0,1
835,Yes,1,39.0,1,1,83.1583,0,0,0
836,No,3,21.0,0,0,8.6625,1,0,1
837,No,3,24.0,0,0,8.05,1,0,1
838,Yes,3,32.0,0,0,56.4958,1,0,1
839,Yes,1,37.0,0,0,29.7,1,0,0
840,No,3,20.0,0,0,7.925,1,0,1
841,No,2,16.0,0,0,10.5,1,0,1
842,Yes,1,30.0,0,0,31.0,0,0,0
843,No,3,34.5,0,0,6.4375,1,0,0
844,No,3,17.0,0,0,8.6625,1,0,1
845,No,3,42.0,0,0,7.55,1,0,1
846,No,3,24.0,8,2,69.55,1,0,1
847,No,3,35.0,0,0,7.8958,1,0,0
848,No,2,28.0,0,1,33.0,1,0,1
849,Yes,1,37.0,1,0,89.1042,0,0,0
850,No,3,4.0,4,2,31.275,1,0,1
851,No,3,74.0,0,0,7.775,1,0,1
852,No,3,9.0,1,1,15.2458,0,0,0
853,Yes,1,16.0,0,1,39.4,0,0,1
854,No,2,44.0,1,0,26.0,0,0,1
855,Yes,3,18.0,0,1,9.35,0,0,1
856,Yes,1,45.0,1,1,164.8667,0,0,1
857,Yes,1,51.0,0,0,26.55,1,0,1
858,Yes,3,24.0,0,3,19.2583,0,0,0
859,No,3,24.0,0,0,7.2292,1,0,0
860,No,3,41.0,2,0,14.1083,1,0,1
861,No,2,21.0,1,0,11.5,1,0,1
862,Yes,1,48.0,0,0,25.9292,0,0,1
863,No,3,24.0,8,2,69.55,0,0,1
864,No,2,24.0,0,0,13.0,1,0,1
865,Yes,2,42.0,0,0,13.0,0,0,1
866,Yes,2,27.0,1,0,13.8583,0,0,0
867,No,1,31.0,0,0,50.4958,1,0,1
868,No,3,24.0,0,0,9.5,1,0,1
869,Yes,3,4.0,1,1,11.1333,1,0,1
870,No,3,26.0,0,0,7.8958,1,0,1
871,Yes,1,47.0,1,1,52.5542,0,0,1
872,No,1,33.0,0,0,5.0,1,0,1
873,No,3,47.0,0,0,9.0,1,0,1
874,Yes,2,28.0,1,0,24.0,0,0,0
875,Yes,3,15.0,0,0,7.225,0,0,0
876,No,3,20.0,0,0,9.8458,1,0,1
877,No,3,19.0,0,0,7.8958,1,0,1
878,No,3,24.0,0,0,7.8958,1,0,1
879,Yes,1,56.0,0,1,83.1583,0,0,0
880,Yes,2,25.0,0,1,26.0,0,0,1
881,No,3,33.0,0,0,7.8958,1,0,1
882,No,3,22.0,0,0,10.5167,0,0,1
883,No,2,28.0,0,0,10.5,1,0,1
884,No,3,25.0,0,0,7.05,1,0,1
885,No,3,39.0,0,5,29.125,0,1,0
886,No,2,27.0,0,0,13.0,1,0,1
887,Yes,1,19.0,0,0,30.0,0,0,1
888,No,3,24.0,1,2,23.45,0,0,1
889,Yes,1,26.0,0,0,30.0,1,0,0
890,No,3,32.0,0,0,7.75,1,1,0
